Employee Identifier,Salaries,Other Salaries,Total Salary,Retirement,Health and Dental,Other Benefits,Total Benefits,Total Compensation
36193,96526.65,0,96526.65,17006.2,12918.24,1692.9,31617.34,128143.99
38724,96152.51,0,96152.51,16940.51,12918.24,1633.57,31492.32,127644.83
39810,96242,0,96242,16955.79,12918.24,1635.09,31509.12,127751.12
4017,84172.82,0,84172.82,14825.02,12918.25,1427.88,29171.15,113343.97
40308,96242,0,96242,16955.8,12918.24,1622.3,31496.34,127738.34
40383,96152.53,0,96152.53,16940.51,12918.25,1525.31,31384.07,127536.6
42999,96152.5,0,96152.5,16940.51,12918.24,240.01,30098.76,126251.26
43132,96241.16,0,96241.16,16956.53,12918.24,1526.82,31401.59,127642.75
43337,96152.5,0,96152.5,16940.51,12918.24,1633.57,31492.32,127644.82
43625,95509.16,0,95509.16,16829.13,12832.06,1622.63,31283.82,126792.98
43878,86221.21,0,86221.21,15186.48,12918.24,1135.05,29239.77,115460.98
4398,96152.5,0,96152.5,16940.51,12918.24,1632.09,31490.84,127643.34
46629,35267,0,35267,0,4736.69,2730.36,7467.05,42734.05
46637,86221.22,0,86221.22,15186.49,12918.24,1435.42,29540.15,115761.37
46714,78183.64,0,78183.64,13769.94,12918.24,1316.83,28005.01,106188.65
47110,79526.57,0,79526.57,14009.91,12918.24,1350.93,28279.08,107805.65
47541,64888.2,0,64888.2,11528.79,10047.52,1102.28,22678.59,87566.79
47802,96152.51,0,96152.51,16940.51,12918.24,224.31,30083.06,126235.57
48056,95663.21,0,95663.21,16853.91,12852.46,1625.26,31331.63,126994.84
48373,96152.56,0,96152.56,16940.51,12918.24,1633.57,31492.32,127644.88
48620,76487.01,0,76487.01,13469.77,12918.24,1246.83,27634.84,104121.85
48708,96242.03,0,96242.03,16955.8,12918.24,1635.09,31509.13,127751.16
48997,76487.02,0,76487.02,13469.77,12918.24,1273.25,27661.26,104148.28
49370,64523.45,0,64523.45,11381.51,12316.65,1073.94,24772.1,89295.55
49580,96460.5,0,96460.5,16998.39,12912.27,1637.33,31547.99,128008.49
50368,2685.01,0,2685.01,0,358.84,207.87,566.71,3251.72
50802,96152.51,0,96152.51,16940.51,12918.24,1581.14,31439.89,127592.4
52533,93962.69,0,93962.69,16545.23,12754.55,1577.88,30877.66,124840.35
52859,0,11204.86,11204.86,0,7.59,162.47,170.06,11374.92
53635,61938.37,0,61938.37,10961.42,8328.02,1049.9,20339.34,82277.71
55468,96152.53,0,96152.53,16940.51,12918.24,228.02,30086.77,126239.3
5560,96106,0,96106,16934.31,12912.27,1631.31,31477.89,127583.89
55669,70308.22,0,70308.22,12322.65,11014.24,1150.02,24486.91,94795.13
55815,66139.71,0,66139.71,11647.69,12918.25,1100.86,25666.8,91806.51
56336,66139.72,0,66139.72,11647.69,12918.24,1100.86,25666.79,91806.51
6285,51402.5,2210.65,53613.15,9293.63,6937.57,126.86,16358.06,69971.21
6462,59164.84,0,59164.84,10354.94,9625.17,960.58,20940.69,80105.53
6763,86221.22,0,86221.22,15186.48,12918.24,1433.94,29538.66,115759.88
6867,89674.6,0,89674.6,15790.32,12918.24,1468.87,30177.43,119852.03
721,76266.2,0,76266.2,13432.04,12918.24,1295.51,27645.79,103911.99
830,96152.5,0,96152.5,16940.51,12918.24,1581.14,31439.89,127592.39
8606,96154.29,0,96154.29,16939.04,12918.24,1615.14,31472.42,127626.71
8727,96152.51,0,96152.51,16940.51,12918.24,240.23,30098.98,126251.49
17958,60164,0,60164,11840.67,12918.24,1021.77,25780.68,85944.68
18904,60164.01,0,60164.01,11840.67,12918.25,998.95,25757.87,85921.88
24903,60164,1415.07,61579.07,12121.73,12918.24,1023.33,26063.3,87642.37
27404,60164,0,60164,11840.67,12918.24,1001.31,25760.22,85924.22
27439,60164.02,0,60164.02,11840.67,12918.26,1014.78,25773.71,85937.73
29057,73346,0,73346,14428.9,12918.24,1220.93,28568.07,101914.07
33086,60164,0,60164,11840.67,12918.24,1001.31,25760.22,85924.22
34583,83331.63,0,83331.63,16413.11,12765.86,1415.62,30594.59,113926.22
35303,60164,0,60164,11840.67,12918.24,1001.31,25760.22,85924.22
38937,60164,0,60164,11840.67,12918.24,948.88,25707.79,85871.79
41827,50908.04,0,50908.04,9867.32,11004.43,847.22,21718.97,72627.01
48074,15463,0,15463,3296.72,3349.18,257.38,6903.28,22366.28
48187,60164.01,0,60164.01,11840.68,12918.24,1001.87,25760.79,85924.8
48877,60164.01,0,60164.01,11840.68,12918.24,1001.31,25760.23,85924.24
48923,60164,50,60214,11851.33,12918.24,964.66,25734.23,85948.23
51354,60149.56,0,60149.56,11837.6,12915.26,1001.07,25753.93,85903.49
7099,60164.01,0,60164.01,11840.68,12918.24,1002.33,25761.25,85925.26
10391,46343.71,0,46343.71,10497.78,12918.24,3696.71,27112.73,73456.44
32151,15481.13,0,15481.13,3206.13,4306.08,1254.74,8766.95,24248.08
54778,20891.03,0,20891.03,3190.88,6219.89,1683.07,11093.84,31984.87
53794,58697.17,1367.23,60064.4,11790.73,10510.43,5012.02,27313.18,87377.58
17679,71363,0,71363,14039.7,12624.36,5551.19,32215.25,103578.25
12705,5030.71,0,5030.71,916.1,1186.86,414.25,2517.21,7547.92
2144,54756.02,1608,56364.02,11075.22,12918.24,4590.99,28584.45,84948.47
21979,42588,0,42588,8543.67,10047.52,3498.61,22089.8,64677.8
41072,54132.92,640.64,54773.56,10768.65,12771.24,4442.71,27982.6,82756.16
41532,54756.04,1688,56444.04,11091.06,12918.24,4553.06,28562.36,85006.4
47220,54696.72,647.3,55344.02,10875.9,12904.25,4494.38,28274.53,83618.55
48248,65100.99,0,65100.99,12645.3,11380.26,5330.7,29356.26,94457.25
21079,18472,0,18472,3363.76,3827.63,1483.03,8674.42,27146.42
26917,37886,0,37886,7998.24,9090.62,3064.96,20153.82,58039.82
15578,71626.42,0,71626.42,14085.42,12902.64,5564.6,32552.66,104179.08
34205,21966.01,0,21966.01,4683.14,3349.18,1776.61,9808.93,31774.94
39039,24636,0,24636,5252.4,2870.73,2010.49,10133.62,34769.62
12883,16978.6,0,16978.6,0,5968.7,1314.49,7283.19,24261.79
15516,14904.04,0,14904.04,0,5239.42,1153.87,6393.29,21297.33
16033,3368.49,0,3368.49,0,1184.17,260.79,1444.96,4813.45
1874,1071.79,0,1071.79,0,376.78,82.98,459.76,1531.55
21333,2943.16,0,2943.16,0,1034.66,227.86,1262.52,4205.68
24106,12300.05,0,12300.05,0,4324.02,895.39,5219.41,17519.46
26181,13593.02,0,13593.02,0,4778.55,1052.37,5830.92,19423.94
26196,9271.88,0,9271.88,0,3259.46,717.83,3977.29,13249.17
26233,13948.23,0,13948.23,0,4903.43,1079.86,5983.29,19931.52
28284,7120.45,0,7120.45,0,2503.15,551.27,3054.42,10174.87
30910,13967.36,0,13967.36,0,4910.13,1081.36,5991.49,19958.85
34551,15056.12,0,15056.12,0,5292.89,1165.65,6458.54,21514.66
40424,4125.56,0,4125.56,0,1450.31,319.4,1769.71,5895.27
42785,595.44,0,595.44,0,209.33,46.1,255.43,850.87
44541,6515.81,0,6515.81,0,2290.6,504.45,2795.05,9310.86
54778,7604.57,0,7604.57,0,2673.36,588.74,3262.1,10866.67
54806,8174.55,0,8174.55,0,2873.71,632.88,3506.59,11681.14
9692,5375.98,0,5375.98,0,1889.89,416.2,2306.09,7682.07
10720,108637.02,0,108637.02,19140.07,12918.24,1758.3,33816.61,142453.63
1517,99059.17,0,99059.17,17408.44,11774.32,1672.96,30855.72,129914.89
16725,105236.48,0,105236.48,18530.27,12902.03,1786.98,33219.28,138455.76
19809,109986.92,0,109986.92,19376.93,12918.24,1835.71,34130.88,144117.8
2154,108637,0,108637,19140.06,12918.24,266.28,32324.58,140961.58
27167,108637.03,0,108637.03,19140.09,12918.24,258.57,32316.9,140953.93
27853,108637,0,108637,19140.06,12918.24,1833.29,33891.59,142528.59
33169,108637.03,0,108637.03,19140.09,12918.24,1758.3,33816.63,142453.66
35593,40060.01,20030,60090.01,7242.81,4784.54,98.22,12125.57,72215.58
49532,105365.7,0,105365.7,18553.63,12918.24,1788.15,33260.02,138625.72
50429,108637.02,0,108637.02,19140.07,12918.24,1845.36,33903.67,142540.69
8274,108637.05,0,108637.05,19140.09,12918.24,1843.77,33902.1,142539.15
55173,95372.51,0,95372.51,18773.21,12918.24,1585.84,33277.29,128649.8
21476,111893,2502,114395,22112.69,12918.24,9409.57,44440.5,158835.5
30448,111456.15,624,112080.15,21656.71,12918.24,9268.62,43843.57,155923.72
31142,111892.99,600,112492.99,21744.26,12918.24,9301.45,43963.95,156456.94
53041,111877.85,624,112501.85,21738.62,12918.24,9302.15,43959.01,156460.86
